name,description
ABEGWEIT PASSAGE,
ABEGWEIT PASSAGE NORTHUMBERLAND STRAIT,
ABEQUAT PASSAGE,
ALEXANDRIUM BAY OF FUNDY,
ALMA WELLSITE,
AMERICAN BANK,DFO Oceans Act Areas of Interest (AOIs)
AMOCO WEST BONNE BAY C-23,
ANGUNIAQVIA NIQIQYUAM,DFO Oceans Act Marine Protected Areas (MPAs) in Arctic
ANNOPOLIS BASIN,
ANTARCTIC,
ANTICOSTI,
AP COASTAL ZONE,
APPROACHES,
APPROACHES EASTERN GULF OF MAINE,
ASPY BAY,
ATLANTIC CANADA-WIDE FISHERIES,NAFO Subareas 2–4
AVALON,
AVON RIVER,
AZMP,
AZMP STN. 2,
AZOMP MONITORING LOCATIONS (OVER MANY MISSIONS),
BACK BAY,
BADDECK,
BAFFIN BAY,
BAIE COMEAU,
BAIE DE MAGPIE,
BAIE DE MOISIE,
BAIE DES CHALEURS,
BAIE JOHAN BEETS,
BALLANTYNE COVE,
BALMORAL M-32,
BALVENIE B-79,
BANC‑DES‑AMÉRICAINS,DFO Oceans Act Marine Protected Areas (MPAs) in Atlantic
BANQUERAUE BANK,
BARENTS KARA SEA,
BARROW STRAIT,
BASIN HEAD,DFO Oceans Act Marine Protected Areas (MPAs) in Atlantic
BAY DE CHALEUR,
BAY OF FUNDY,
BAY OF ISLES,
BEAVER HARBOUR,
BEDFORD BASIN,
BELLE ISLE STRAIT,
BIG GLACE BAY LAKE MIGRATORY BIRD SANCTUARY,
BIRD ISLAND,
BLISS HARBOUR,
BONAVISTA BAY,
BONAVISTA LINE,
BONNE BAY  NFLD,
BOOT ISLAND NATIONAL WILDLIFE AREA,
BOTWOOD G-89,
BRAS D'OR LAKES,
BRIER ISLAND,
BROWN BANK AREA,
BRUDENELL RIVER,
BURNT COAT NS,
CANARY BASIN,
CANSO BANK AND CHANNELS,
CAPE BRETON,
CAPE FREELS,
CAPE HARRISON LABRADOR COAST,
CAPE NORTH,
CAPE PENINSULA,
CAPE SABLE ISLAND,
CAPE TORMENTINE,
CARAQUET AREA,
CARAQUET HARBOUR NB,
CARDIGAN BAY,
CARDIGAN RIVER,
CHALEUR BAY,
CHARLOTTETOWN,
CHEDABUCTO BAY,
COASTAL SEA URCHIN,
CONCEPTION BAY,
CONTINENTAL SHELF OFF NFLD.,
CORSAIR AND GEORGES CANYONS MARINE REFUGE,
COUNTRY HARBOUR,
DAVIS STRAIT,
DND BARGE,
DND JETTY HALIFAX HARBOUR,
EASTPORT,DFO Oceans Act Marine Protected Areas (MPAs) in Atlantic
EEL BAY,
EMERALD BANKS,
EMERALD BASIN,
ERNST ISLAND,
FISHERMANS BANK,
FLEUR DE LIS COAST,
FOGO ISLAND,
GEORGE BAY,
GEORGES BANK,
GEORGES BASIN,
GERMAN BANK TO GULF OF MAINE,
GILBERT BAY,DFO Oceans Act Marine Protected Areas (MPAs) in Atlantic
GILBERT BAY SOUTH LABRADOR,
GRAND BANKS STOCKS,Combined NAFO Area (3LNO)
GRAND MANAN AREA,
GRAND MANAN BASIN,
GRAND MANAN BIRD SANCTUARY,
GREENLAND SEA,
GULF MAINE,
GULF OF ST. LAWRENCE,Combined NAFO Area (4RST)
HALIFAX HARBOUR,
HALIFAX HARBOUR  BEDFORD BASIN,
HALIFAX STATION 2,
HALIFAX TO MID ATLANTIC RIDGE 7 BERMUDA WATER,
HALIFAX WEST TO THE BAY OF FUNDY,
HAMILTON BANK,
HARVE SAINT PIERRE,
HATTON BASIN,
HEBRON D-94,
HEBRON M-04 WELL  GRAND BANKS NFLD,
HECATE STRAIT & QUEEN CHARLOTTE SOUND GLASS SPONGE REEFS,DFO Oceans Act Marine Protected Areas (MPAs) in Pacific
HIBERNIA PLATFORM,
HUDSON BAY,
HUDSON STRAIT,
INNER SHELF SEA PEN FIELD,
IRVING WHALE FOOTPRINT SITE,
ISLE A LACHASSE,
JOHN LUSBY MARSH NATIONAL WILDLIFE AREA,
JORDAN BASIN MARINE REFUGE,
KEJIMKUJIK SEASIDE NATIONAL PARK AND HISTORIC SITE,
KELLY COVE,
KELP HABITATS BETWEEN SHELBURNE,
KENAMU-LAKE MELVILLE,
KETCH HARBOUR,
LABRADOR SEA,
LABRADOR SHELF,
LABRADOR SHELVES,
LAHAVE BASIN,
LAHAVE ISLANDS,
LAURENTIAN CHANNEL,DFO Oceans Act Marine Protected Areas (MPAs) in Atlantic
LEHAVE BANK,
LEHAVE BASIN,
LETANG ESTUARY,
LIVERPOOL HARBOUR,
LOBSTER BAY,
LOCH BRAS D'OR SALMON FARMS,
LOGAN CANYON,
LONG EDDY,
LONG ISLAND,
LOUISBOURG AREA,
LTTM DFO GULF REGION VARIOUS SITES,
LTTMP BIO VARIOUS SITES,
LTTMP FSRS VARIOUS SITES,
LTTMP LOBSTER SETTLEMENT COLLECTORS VARIOUS SITES,
LUNEBURG BAY,
LURCHER AREAS,
M105-NEAR HALIFAX HARBOUR MOUTH,
M72-SE OF KETCH HARBOUR,
M73-NNE OF BONAVISTA,
MACHIAS SEAL ISLAND BIRD SANCTUARY,
MACNAMARAS ISLANDS,
MAGDALEN ISLANDS,
MAHONE BAY,
MAINE,
MAKKOVIK,
MAKKOVIK BANK,
MARCOH D-44,
MARGAREE F-70,
MARINER I-85 WELLSITE,
MARQUIS L-35 EXPLORATION WELLSITE,
MARTINIQUE BEACH,
MCNUTTS ISLAND,
MINAS BASIN,
MIRAMICHI AREA,
MIRAMICHI BAY,
MIRAMICHI RIVER,
MISAINE BANK AND LAURENTIAN CHANNEL,
MUSQUASH ESTUARY,
MUSQUODOBOIT HARBOUR,
NAFO DIVISION 0A,DFO Oceans Act Marine Protected Areas (MPAs) in Atlantic
NAFO DIVISION 0B,
NAFO DIVISION 1A,Within NAFO Subarea 0 (Arctic /Davis Strait)
NAFO DIVISION 1B,Within NAFO Subarea 0 (Arctic /Davis Strait)
NAFO DIVISION 1C,Within NAFO Subarea 1 (Greenland/Labrador Sea)
NAFO DIVISION 1D,Within NAFO Subarea 1 (Greenland/Labrador Sea)
NAFO DIVISION 1E,Within NAFO Subarea 1 (Greenland/Labrador Sea)
NAFO DIVISION 1F,Within NAFO Subarea 1 (Greenland/Labrador Sea)
NAFO DIVISION 2G,Within NAFO Subarea 1 (Greenland/Labrador Sea)
NAFO DIVISION 2H,Within NAFO Subarea 1 (Greenland/Labrador Sea)
NAFO DIVISION 2J,Within NAFO Subarea 2 (Labrador Shelf)
NAFO DIVISION 2J3KL,Within NAFO Subarea 2 (Labrador Shelf)
NAFO DIVISION 3K,Within NAFO Subarea 2 (Labrador Shelf)
NAFO DIVISION 3L,Within NAFO Subarea 2 (Labrador Shelf)-  stock areas
NAFO DIVISION 3M ,Within NAFO Subarea 3 (Newfoundland & Grand Banks)
NAFO DIVISION 3N,Within NAFO Subarea 3 (Newfoundland & Grand Banks)
NAFO DIVISION 3O,Within NAFO Subarea 3 (Newfoundland & Grand Banks)- (Flemish Cap – outside EEZ)
NAFO DIVISION 3P,Within NAFO Subarea 3 (Newfoundland & Grand Banks)
NAFO DIVISION 4R,Within NAFO Subarea 3 (Newfoundland & Grand Banks)
NAFO DIVISION 4S,Within NAFO Subarea 3 (Newfoundland & Grand Banks)-  (often split into 3Ps)
NAFO DIVISION 4T,Within NAFO Subarea 4 (Gulf of St. Lawrence)
NAFO DIVISION 4V ,Within NAFO Subarea 4 (Gulf of St. Lawrence)
NAFO DIVISION 4W,Within NAFO Subarea 4 (Gulf of St. Lawrence)
