name,acronym,code,description,country 
AMAX OF CANADA LIMITED,AMAX,,Canadian subsidiaries operated in mining and oil exploration,CANADA
AMEC CANADA,,,Global engineering and consultancy firm ,CANADA
AMOCO OIL CO.,,,Major American energy company that merged with BP in 1998,UNITED STATES
ANTARCTIC ECOSYSTEM RESEARCH DIVISION,AERD,,AERD is part of NOAA and one of the world’s leading groups studying Antarctic marine ecosystems,UNITED STATES
ARCTIC BIOLOGICAL STATION,ABS,4,A long‑standing Canadian federal research facility DFO & one of Canada’s oldest centres for Arctic marine science,CANADA
ARCTIC INSTITUTE OF NORTH AMERICA,AINA,23,Arctic Institute Of North America (University Of Calgary),CANADA
ARCTIC SCIENCES LTD.,ARCTIC SCI,36,Historic no‑longer‑active federal corporation that operated in the mid‑20th century,CANADA
ASA CONSULTING,,,Applied Science Associates (ASA) specialized global environmental consulting firm,CANADA
ASSEMBLY OF FIRST NATIONS,AFN,,DFO partners with Indigenous communities,CANADA
ATLANTIC GROUNDFISH COUNCIL,AGC,,AGC is the industry association representing Canada’s Atlantic groundfish harvesters and processors,CANADA
ATLANTIC OCEANOGRAPHIC GROUP,AOG,1,Historical Canadian federal science unit that operated under FRB and later within DFO,CANADA
ATLANTIC OCEANOGRAPHIC LABORATORY,AOL,10,Atlantic Oceanographic Laboratory (AOL) BIO specializes in physical and chemical oceanography,CANADA
ATLANTIC POLICY CONGRESS OF FIRST NATIONS CHIEFS,,,Indigenous fisheries organizations,CANADA
ATLANTIC SALMON FEDERATION,ASF,,ASF acts as a delivery partner science contributor and policy advocate within DFO‑led frameworks,CANADA
ATLANTIC VETERINARY COLLEGE,AVC ,,AVC  works closely with DFO Science and regulatory programs,CANADA
BAYFIELD INSTITUTE CANADA CENTRE FOR INLAND WATERS,CCIW,22,A large federal freshwater research complex established in 1967,CANADA
BEDFORD INSTITUTE OF OCEANOGRAPHY,BIO,1,Located in Dartmouth NS it is Canada's largest center for ocean research,CANADA
BIO USA,BIO US,,Extensive cross-border scientific partnerships between Canada and the US for North Atlantic research,UNITED STATES
BIOLOGICAL SCIENCES BRANCH ,BSB,,Biological Sciences Branch of DFO Bedford Institute of Oceanography Dartmouth Nova Scotia,CANADA
BOWDOIN COLLEGE OF BRUNSWICK - SCIENTIFIC STATION,,,Located on Kent Island several miles off the mainland in the Bay of Fundy,CANADA
BP p.lc.  ,BP,,"A major multinational energy company engaged in the exploration, production, refining, and marketing of oil and natural gas worldwide",UNITED KINGDOM
BSB at ST. ANDREWS,BSB-SABS,,DFO BSB (Biological Sciences Branch) & St. Andrews Biological Station (SABS) in New Brunswick,CANADA
CANADIAN COAST GUARD,CCG,,Core Federal & Government Partners & Canada’s national safety and response agency,CANADA
CANADIAN FOOD INSPECTION AGENCY,CFIA,,Science‑based federal regulatory agency responsible for safeguarding food safety animal health and plant health in Canada,CANADA
CANADIAN FORCES MARITIME EXPERIMENTAL AND TEST RANGES,CFMETR,,CFMETR is a DND maritime test and evaluation facility on the east coast of Vancouver Island,CANADA
CANADIAN HYDOGRAPHIC SERVICE,CHS,7,CHS is responsible for providing authoritative hydrographic and nautical information to ensure safe navigation in Canadian waters,CANADA
CANADIAN MARINE DRILLING LTD.,CANMAR,,Support offshore Arctic oil exploration owned subsidiary of Dome Petroleum Limited,CANADA
CANADIAN NATIONAL OCEANOGRAPHIC DATA CENTRE,CNODC,,CNODC or former CODC is Canada’s national ocean data repository operated by DFO through MEDS ,CANADA
CANADIAN NATURAL RESOURCES LIMITED,CNRL,,"Canadian oil and gas company engaged in the exploration, development, and production of crude oil, natural gas, and oil sands resources in Canada and internationally",CANADA
CANADIAN RIVERS INSTITUTE,CRI,,University‑based centre of excellence in river science headquartered at the University of New Brunswick (UNB),CANADA
CANADIAN SPACE AGENCY,CSA,,Canada’s national space agency located at John H. Chapman Space Centre in Longueuil Québec,CANADA
CANADIAN WILDLIFE FEDERATION,CWF,,CWF is a national non‑profit non‑governmental conservation organization (NGO),CANADA
CAPE BRETON UNIVERSITY ,CBU,,DFO collaborates with universities through partnerships in research data sharing and innovation to advance ocean science fisheries management and marine conservation,CANADA
CENTRE FOR AQUATIC HEALTH SCIENCES,CAHS,,Provide epidemiology‑based aquatic animal health research supporting both government and industry decision‑making,CANADA
CHAMPLAIN CENTER FOR MARINE SCIENCE AND SURVEYS,CCSM,41,CCMSS was a Canadian federal marine science and survey facility no longer exists as a distinct organization,CANADA
CHEVRON OIL,,,"A major multinational energy company engaged in the exploration, production, refining, and marketing of oil and natural gas worldwide",UNITED STATES
COASTAL ECOSYSTEM SCIENCE DIVISION,CESD,,Coastal Ecosystem Science Division is part of DFO’s Ecosystems and Oceans Science (EOS) ,CANADA
COASTAL OCEAN RESEARCH INSTITUTE,CORI,,Non‑profit marine science research institute established to measure monitor and assess the health of coastal ocean ecosystems,CANADA
CONCORDIA UNIVERSITY,CONCORDIAU,,DFO collaborates with universities through partnerships in research data sharing and innovation to advance ocean science fisheries management and marine conservation,CANADA
COOGER,COOGER,,DFO-BIO Centre for Offshore Oil Gas and Energy Research,CANADA
DALHOUSIE UNIVERSITY,DAL,14,DFO collaborates with universities through partnerships in research data sharing and innovation to advance ocean science fisheries management and marine conservation,CANADA
DEPARTMENT OF FISHERIES AND OCEANS CANADA,DFO,,DFO is a federal department of the Government of Canada responsible for the stewardship of Canada’s fisheries oceans and freshwater resources,CANADA
DEPARTMENT OF NATIONAL DEFENCE,DND,,DND is a federal department of the Government of Canada responsible for supporting and administering the Canadian Armed Forces (CAF),CANADA
DFO GULF FISHERIES CENTRE,DFO-GFC,,DFO Gulf Fisheries Centre (GFC) located in Moncton NB,CANADA
DOME PETROLEUM LIMITED,DOMEPETRO.,35,Dome Petroleum Limited was a calgary‑based oil and gas company collapsed in 1986 and acquired by Amoco in 1988,CANADA
DRDC: DEFENCE RESEARCH AND DEVELOPMENT CANADA ATLANTIC,DREA,8,DRDC is the science and technology organization of the DND & it provides defence and security science technology analysis and innovation to support the CAF,CANADA
DRDC: DEFENCE RESEARCH AND DEVELOPMENT CANADA OTTAWA,DREO,27,DRDC is the science and technology organization of the DND & it provides defence and security science technology analysis and innovation to support the CAF,CANADA
DRDC: DEFENCE RESEARCH AND DEVELOPMENT CANADA PACIFIC,DREP,9,DRDC is the science and technology organization of the DND & it provides defence and security science technology analysis and innovation to support the CAF,CANADA
DUCKS UNLIMITED CANADA,,,Ducks Canada is a national non‑profit non‑governmental conservation organization (NGO),CANADA
ECOSYSTEMS AND OCEANS SCIENCE,EOS,,EOS is the national science sector within DFO,CANADA
ENCANA CORPORATION,,,"A major  energy company engaged in the exploration, production, refining, and marketing of oil and natural gas worldwide",CANADA
ENVIRONMENT AND CLIMATE CHANGE CANADA,ECCC,,ECCC is a federal department of the Government of Canada responsible for environmental protection climate change policy weather and climate services and conservation of nature,CANADA
ESSO,,,"A major multinational energy company engaged in the exploration, production, refining, and marketing of oil and natural gas worldwide",CANADA
EXXONMOBIL,,,"A major multinational energy company engaged in the exploration, production, refining, and marketing of oil and natural gas worldwide",UNITED STATES
FAR EASTERN REGIONAL HYDROMETEOROLOGICAL RESEARCH INSTITUTE,FERHRI,,Russian research institute conducting hydrometeorological and climate studies in the Far Eastern and North Pacific regions,RUSSIAN FEDERATION
FEDERAL MARITIME AND HYDROGRAPHIC AGENCY OF GERMANY,BSH,,Germany’s federal authority responsible for marine navigation hydrography oceanography and maritime environmental monitoring,GERMANY
FISHERIES RESEARCH BOARD OF CANADA,FRB,,A former Canadian federal agency that conducted fisheries and oceanographic research prior to its integration into DFO,CANADA
FISHERMEN AND SCIENTISTS RESEARCH SOCIETY,FSRS,,FSRS and DFO work together on data-collection and research initiatives,CANADA
FISHERY AND AQUACULTURE SCIENCE BRANCH,DSHA,,DSHA branch in DFO is one of the major science divisions operating at IML,CANADA
FOOD AND AGRICULTURE ORGANIZATION,FAO,,A United Nations agency leading international efforts to improve food security fisheries agriculture and sustainable resource use,ITALY
FRENCH RESEARCH INSTITUTE FOR EXPLOITATION OF THE SEA,IFREMER,,France’s national institute for marine science technology and sustainable use of ocean resources,FRANCE
FRESHWATER INSTITUTE,FWI,40, Canadian federal research centre specializing in freshwater ecosystems fisheries science and inland water studies,CANADA
GEOLOGICAL SURVEY OF CANADA ,GSC,28,Canada’s national geoscience organization providing research and data on geology geophysics natural resources and hazards,CANADA
GEOMAR,GEOMAR,,Bedford Institute of Oceanography (BIO) & GEOMAR are key partners in North Atlantic Ocean & Climate Observatory,GERMANY
GOVERNMENT OF BRITISH COLUMBIA,,,DFO collaborates with regional governments for fisheries and habitat management,CANADA
GOVERNMENT OF NEWFOUNDLAND AND LABRADOR,,,DFO collaborates with regional governments for fisheries and habitat management,CANADA
GOVERNMENT OF NOVA SCOTIA,,,DFO collaborates with regional governments for fisheries and habitat management,CANADA
GOVERNMENT OF NUNAVUT,,,DFO collaborates with regional governments for fisheries and habitat management,CANADA
GOVERNMENT OF QUEBEC,,,DFO collaborates with regional governments for fisheries and habitat management,CANADA
GROUPE INTERUNIVERSITAIRE DE RECHERCHES OCÉANOGRAPHIQUES DU QUÉBEC,GIROQ,24,Quebec‑based interuniversity consortium coordinating oceanographic research and training,CANADA
GULF FISHERIES CENTRE MONCTON NB,GFC,34,DFO research centre focused on fisheries ecosystems and oceanography in the Gulf of St. Lawrence,CANADA
HALIFAX FISHERIES RESEARCH LABORATORY NS,HFRL,31,A former federal fisheries science laboratory supporting marine research in Atlantic Canada,CANADA
HUSKY OIL,,,An integrated energy company,CANADA
INSTITUT DE RECHERCHE POUR LE DÉVELOPPMENT,,,A French public research institute conducting interdisciplinary research on sustainable development in partnership with developing countries,CANADA
INSTITUTE OF OCEAN SCIENCES,IOS,2,A major Canadian federal oceanographic research institute specializing in Pacific and Arctic marine science,CANADA
INSTITUTE OF OCEANOGRAPHY UNIVERSITY OF HAMBURG,,,A German academic institute conducting research and education in physical chemical and climate oceanography,GERMANY
INTER-AMERICAN TROPICAL TUNA COMMISSION ,IATTC,,An international organization responsible for the conservation and management of tuna and related species in the eastern Pacific Ocean,UNITED STATES
INTERNATIONAL COMMISSION FOR THE CONSERVATION OF ATLANTIC TUNAS,ICCAT,,An intergovernmental body managing the conservation of tuna and tuna‑like species in the Atlantic Ocean and adjacent seas,CANADA
INTERNATIONAL COUNCIL FOR THE EXPLORATION OF THE SEA,ICES,,A global scientific organization providing advice and coordination for marine research and ecosystem management,DENMARK
INUIT TAPIRIIT KANATAMI,ITK,,The national representative organization for Inuit in Canada,CANADA
JAPANESE METEOROLOGICAL AGENCY,JMA,,Japan’s national authority for weather forecasting climate monitoring oceanography and seismic hazard assessment,JAPAN
KNIPOVICH POLAR RESEARCH INSTITUTE OF MARINE FISHERIES AND OCEANOGRAPHY,PINRO,,A Russian research institute specializing in Arctic and North Atlantic fisheries and oceanographic science,RUSSIAN FEDERATION
LA TABATIÈRE EXPERIMENTAL FISHERIES STATION,,,A former Canadian fisheries research station supporting experimental and applied fisheries studies in the Gulf of St. Lawrence,CANADA
LASMO,,,"A former British oil and gas exploration and production company with significant international offshore operations, later acquired by ENI",UNITED KINGDOM
LGL LIMITED ENVIRONMENTAL RESEARCH ASSOCIATES,LGL,,A Canadian consulting firm providing environmental research and impact assessment services particularly in Arctic and marine regions,CANADA
MACLAREN,,,Canadian engineering and environmental consulting firm,CANADA
MARINE ECOLOGY LABORATORY,MEL,1,Canada’s principal federal marine science labs at BIO,CANADA
MARINE ECOSYSTEMS AND AQUACULTURE DIVISION PBS,MEAD_PBS,,DFO division at the Pacific Biological Station focused on marine ecosystems and aquaculture science,CANADA
MARINE ECOSYSTEMS AND AQUACULTURE DIVISION WVL,MEAD_WVL,,DFO research division at the West Vancouver Laboratory specializing in coastal ecosystems and aquaculture,CANADA
MARINE ENVIRONMENT AND HABITAT SCIENCE DIVISION WVL,MEHS_WVL,,DFO division conducting research on marine habitats and environmental processes,CANADA
MARINE ENVIRONMENTAL DATA SECTION,MEDS,,Marine Environmental Data Section (MEDS) DFO program for managing and archiving oceanographic data.,CANADA
