PARAMETER_TYPE,PARAMETER_UNITS
ABSOLUTE HUMIDITY,g/m**3
ADCP ECHO INTENSITY,none
ADENOSINE TRIPHOSPHATE CONTENT,mg/m**3
ALONG TRACK DISPLACEMENT,metres
ALPHA - 0,m**3/kg
AMMONIUM (NH4-N) CONTENT,mmol/m**3
ATMOSPHERIC PRESSURE,hPa
ATMOSPHERIC PRESSURE AT SEA LEVEL,hpa
ATTENUANCE (ADCP),/m
AUTHORITY,none
BACTERIA COUNTS,10**6/L
BATHYMETRIC DEPTH,metres
BATTERY CAPACITY,mAh (milliampere-hours)
BATTERY VOLTAGE,volts
BEST NODC7 NUMBER,none
BOTTLE SAMPLE PARTICULATE INORGANIC MATTER,g/m**3
BOTTLE SAMPLE PARTICULATE ORGANIC MATTER,g/m**3
BOTTLE SAMPLE TOTAL SUSPENDED MATTER,g/m**3
BRIGHTNESS,lumen (lm)
BRIGHTNESS,lux (lx)
BRUNT VAISSALA FREQUENCY,hertz
CARBONATE ALKALINITY,mmol/m**3
CHLORINITY (PARTS/THOUSAND),g/kg
CHLOROPHYLL-A CONTENT,mg/m**3
CHLOROPHYLL-A CONTENT FROM CELLS > 5UM,mg/m**3
CHLOROSITY,kg/m**3
CMCTD TIME OFFSET,s
CMCTD TIME YYJJJHHMMSSSS,GMT
COLLECTOR TAXONOMIC IDENTIFIER,none
COMMENTS,none
COMPUTER CLOCK SPEED,Hertz (Hz)
COMPUTER NETWORK SPEED,bits per second (bps)
COMPUTER NETWORK SPEED,Megabits per second (Mbps)
CONDUCTIVITY,mmHo
CONDUCTIVITY (MILLISIEMENS PER METER),mS/cm
CONDUCTIVITY (SIEMENS PER METER),S/m
CONDUCTIVITY RATIO,none
COUNTER,none
DATA IDENTIFIER,none
DATA STORAGE,megabyte (MB)
DATA STORAGE,gigabyte (GB)
DEPTH,metres
DESCRIPTION OF SAMPLE STORAGE BETWEEN COLLECTION AND ANALYSIS,none
DETAIL DATA: CALCULATED DRY WEIGHT DERIVED USING A REGRESSION,mg/mÂ³
DETAIL DATA: CALORIMETRIC BOMB,cal/mg
DETAIL DATA: NAME OF THE COLLECTOR FOR THE DATA,none
DEW POINT TEMPERATURE,degrees C
DISCHARGE,m**3/s
DISSOLVED ORGANIC CARBON CONTENT,mmol/m**3
DISSOLVED ORGANIC NITROGEN CONTENT,mmol/m**3
DISSOLVED OXYGEN,ml/l
DISSOLVED OXYGEN,umol/kg
DISTANCE OF OBJECT FROM REFERENCE POINT,metres
DRY BULB TEMPERATURE,degrees C
DRY WEIGHT OF ORGANISMS,g
EAST (MAGNETIC) COMPONENT OF CURRENT,m/s
EAST (TRUE) COMPONENT OF CURRENT,m/s
EASTWARD (TRUE) COMPONENT OF WIND SPEED,m/s
ELECTRIC CURRENT,ampere (amp)
ELECTRICAL CONDUCTIVITY,mhos/m
ERROR VELOCITY (ADCP),m/s
FLUORESCENCE,mg/m**3
FLUORESCENCE,%
FLUORESCENCE OF CDOM (COLOURED DISSOLVED ORGANIC MATTER),mg/m**3
FLUORESCENCE OF CDOM (COLOURED DISSOLVED ORGANIC MATTER) STANDARD DEVIATION,mg/m**3
FRACTION OF SAMPLE,none
FREQUENCY DATA: BUG TOTAL LENGTH,mm
FREQUENCY DATA: BUG TOTAL LENGTH LOWER FREQUENCY BIN,mm
FREQUENCY DATA: BUG TOTAL LENGTH UPPER FREQUENCY BIN,mm
FREQUENCY DATA: NAME OF THE COLLECTOR,
FREQUENCY DATA: PERCENTAGE OF BUGS HAVING A GIVEN TOTAL LENGTH,%
FREQUENCY DATA: QUALITY CONTROL CODE OF BUGS HAVING A GIVEN TOTAL LENGTH,
FREQUENCY DATA: SEQUENTIAL NUMBER ATTACHED TO BUGS HAVING A GIVEN TOTAL LENGTH,
GEAR USED FOR SAMPLE COLLECTION,none
GEOPOTENTIAL,none
GEOPOTENTIAL DYNAMIC HEIGHT,m
GRAPHICS QUALITY,pixels
GRAPHICS QUALITY,Megapixels (MP)
GUST WIND DIRECTION,degrees
GUST WIND SPEED,m/s
HEADING,True degrees
HEIGHT/ALTITUDE ABOVE BOTTOM,metres
HEIGHT/ALTITUDE ABOVE MEAN SEA LEVEL,metres
HEIGHT/ALTITUDE ABOVE SEA SURFACE,metres
HORIZONTAL CURRENT DIRECTION (MAGNETIC),degrees
HORIZONTAL CURRENT DIRECTION (TRUE),degrees
HORIZONTAL CURRENT SPEED,m/s
HORIZONTAL WIND SPEED,m/s
HYDROGEN ION CONCENTRATION (PH),none
HYDROGEN SULPHIDE (H2S-S) CONTENT,mmol/m**3
IDENTIFIES THE PERCENTAGE OF SPECIFIED PLANKTON,%
IDENTIFIES THE STATE OF THE SAMPLE ANALYSIS,none
INDICATES PRESENCE (1) OR ABSENCE (0) OF ORGANISMS IF NOT COUNTED,none
IRRADIANCE 412NM,uW/cm**2/nm
IRRADIANCE 443NM,uW/cm**2/nm
IRRADIANCE 490NM,uW/cm**2/nm
IRRADIANCE 510NM,uW/cm**2/nm
IRRADIANCE 555NM,uW/cm**2/nm
IRRADIANCE 669NM,uW/cm**2/nm
IRRADIANCE 683NM,uW/cm**2/nm
LARGEST SIEVE USED,microns
LATITUDE (NORTH +VE),degrees
LIFE HISTORY OR DEVELOPMENT STAGE,none
LIGHT TRANSMISSION,%
LONGITUDE (EAST +VE),degrees
LOWERING RATE,metres/sec
MAGNETIC VARIATION FROM TRUE NORTH,degrees
MAXIMUM SIZE OF ORGANISMS,microns
MEAN SEA LEVEL (MSL),metres
MEAN SEA LEVEL (MSL),fathoms (ftm)
METHOD USED FOR SAMPLE COLLECTION,none
METHOD USED FOR SAMPLE PRESERVATION,none
METHOD USED TO DETERMINE THE VOLUME OF WATER,none
MINIMUM SIZE OF ORGANISMS,microns
NET SOLAR RADIATION,watts/m**2
NITRATE (NO3-N) CONTENT,mmol/m**3
NITRATE + NITRITE CONTENT,mmol/m**3
NITRITE (NO2-N) CONTENT,mmol/m**3
NO WMO ASSIGNED,none
NORTH (MAGNETIC) COMPONENT OF CURRENT,m/s
NORTH (TRUE) COMPONENT OF CURRENT,m/s
NORTHWARD (TRUE) COMPONENT OF WIND SPEED,m/s
NUMBER OF ORGANISMS COUNTED,none
NUMBER OF SCANS AVERAGED,none
OBS TURBIDITY,FTU
ORGANIC CARBON CONTENT,mmol/m**3
ORGANIC NITROGEN CONTENT,mmol/m**3
ORGANISM VOLUME,mL
OXYGEN PARTIAL PRESSURE,none
OXYGEN SATURATION,%
OXYGEN SENSOR CURRENT,uA
OXYGEN SENSOR TEMPERATURE,degrees C
PARTICULATE ORGANIC CARBON CONTENT,mmol/m**3
PARTICULATE ORGANIC NITROGEN CONTENT,mmol/m**3
PERCENT GOOD PINGS,%
PERCENT GOOD SIGNAL RETURN (ADCP),%
PERCENTAGE OF THE INCIDENT SURFACE LIGHT REMAINING AT THE SAMPLED DEPTH,%
pH,none
PHAEOPIGMENT CONTENT,mg/m**3
PHAEOPIGMENT CONTENT FROM CELLS > 5UM,mg/m**3
PHOSPHATE (PO4-P) CONTENT,mmol/m**3
PHOTOSYNTHETIC ACTIVE RADIATION,ueinsteins/s/m**2
PHYTOPLANKTON COUNTS,10**3cells/L
PIPE INTERNAL POINTER,none
PIPE TIME FORMAT DD-MMM-YYYY HH:MM:SS.SS,GMT
PIPE VARIABLE,none
PITCH ANGLE,degrees
PITCH ANGLE STANDARD DEVIATION,degrees
PLAIN LANGUAGE TEXT,none
POTENTIAL AIR TEMPERATURE,degrees C
POTENTIAL TEMPERATURE,degrees C
POWER CONSUMPTION,watts (W)
POWER FACTOR,none
POWER UNIT,Kilowatts (kW)
PRESSURE (PASCALS),Pa
PRESSURE STRAIN GAUGE (DECIBARS),decibars
PRIMARY PRODUCTION,mgC/m**3/h
PRODUCTION PRIMAIRE Ã  PARTIR D`INCUBATIONS,mgC/m**3/h
QUALITY CONTROL FLAG,code
QUALITY CONTROL FLAG (GTSPP),none
QUALITY FLAG: QCFF,none
RADIANCE 412NM,uW/cm**2/nm/sr
RADIANCE 443NM,uW/cm**2/nm/sr
RADIANCE 490NM,uW/cm**2/nm/sr
RADIANCE 510NM,uW/cm**2/nm/sr
RADIANCE 555NM,uW/cm**2/nm/sr
RADIANCE 669NM,uW/cm**2/nm/sr
RADIANCE 683NM,uW/cm**2/nm/sr
RAW OXYGEN VOLTAGE,volts
REDOX POTENTIAL,mV
REFERENCE,none
RELATIVE HUMIDITY,%
RELATIVE TOTAL PRESSURE,decibars
RETENTION FILTER SIZE,microns
ROLL ANGLE,degrees
ROLL ANGLE STANDARD DEVIATION,degrees
SALINITY (ABSOLUTE SALANITY- TEOS-10 STANDARD),g/kg 
SALINITY (PARTS PER THOUSANDS),ppt
SALINITY (PARTS PER THOUSANDS),per mille (o/oo)
SALINITY (PRACTICAL SALANITY UNIT),psu
SCAN COUNTER,none
SEA DENSITY,kg/m**3
SEA PRESSURE (SEA SURFACE - 0),decibars
SECCHI DISC DEPTH,m
SENSOR DEPTH BELOW SEA SURFACE,metres
SENSOR VOLTAGE,volts
SEX,none
SIGMA-0,kg/m**3
SIGMA-T,kg/m**3
SIGMA-THETA,kg/m**3
SILICATE (SIO4-SI) CONTENT,mmol/m**3
SOUND VELOCITY,m/s
SOUNDINGS,metres
SPECIFIC HUMIDITY,g/kg
SPECIFIC VOLUME,m**3/kg
SPECIFIC VOLUME ANOMOLY,m**3/kg
STANDARD DEVIATION OF PRECEDING PARAMETER,same as preceding parameter
STRESS (U COMPONENT),Pa
STRESS (V COMPONENT),Pa
STRESS AMPLITUDE,Pa
STRESS DIRECTION,degrees T
SURFACE PHOTOSYNTHETIC ACTIVE RADIATION,ueinsteins/s/m**2
TAXONOMIC INFORMATION,none
TAXONOMIC NAME,none
TAXONOMIC SERIAL NUMBER,none
TEMPERATURE (IPTS-68 SCALE),degrees C
TEMPERATURE (ITS-90 SCALE),degrees C
TEMPERATURE (KELVIN SCALE), K
TILT ANGLE,degrees
TILT ANGLE STANDARD DEVIATION,degrees
TIME ELAPSED,seconds
TOTAL ALKALINITY,mmol/m**3
TOTAL CARBON (C) CONTENT,mmol/m**3
TOTAL NITROGEN (N) CONTENT,mmol/**3
TOTAL PHOSPHOROUS (P) CONTENT,mmol/m**3
TOTAL PRESSURE (ATMOSPHERE + SEA PRESSURE),decibars
TROPHIC DESCRIPTOR,none
"TURBIDITY, WET LABS ECO BB",m^-1/sr
UNKNOWN WMO CODE,none
UREA CONTENT,mmol/m**3
VERTICAL  WIND SPEED,m/s
